,message,neutral-score,negative-score,positive-score,label
372,be a tool not a fool make a difference,0.769,0.0,0.231,Neutral
373,you should say it points to return....will you say this,1.0,0.0,0.0,Neutral
374,:yt::thanksdoc:doctors tooo die death due to kidney failure......ok,0.435,0.565,0.0,Negative
375,so how many dna has had adam? horror,0.654,0.346,0.0,Neutral
376,no one will notice any way so.....👀,0.761,0.239,0.0,Neutral
377,:thanksdoc::thanksdoc::thanksdoc::thanksdoc::thanksdoc:🙏help me god s family 👍🙏,0.826,0.0,0.174,Neutral
378,inas a long time ago i read this. i found it so can you.,1.0,0.0,0.0,Neutral
379,who are u?,1.0,0.0,0.0,Neutral
380,cuz no mom and no dad 😆,0.48,0.52,0.0,Negative
381,lol,0.0,0.0,1.0,Positive
382,"matthew 7:15-23 talk about mohammed - “watch out for false prophets. they come to you in sheep’s clothing, but inwardly they are ferocious wolves. 16 by their fruit you will recognize them ...''",0.952,0.048,0.0,Neutral
383,i am human dude,1.0,0.0,0.0,Neutral
384,you have no answer....you think some verse points to 'return'....,0.804,0.196,0.0,Neutral
385,isn't it so?,1.0,0.0,0.0,Neutral
386,i'm the slave of the magic mirror,1.0,0.0,0.0,Neutral
387,i know wat you will say eventually maybe this or maybe that like a donkey,0.848,0.0,0.152,Neutral
388,jesus tomb in india kashmir mahala khanyar,1.0,0.0,0.0,Neutral
389,is africa doing an ethnic cleansing of ethiopians,1.0,0.0,0.0,Neutral
390,lol,0.0,0.0,1.0,Positive
391,"all of his believers will call him ""fake"" any way so..👀",0.78,0.22,0.0,Neutral
392,i am not a tool,1.0,0.0,0.0,Neutral
393,i will tell you no scientific biologists who have dome respect for himself will say that,0.725,0.114,0.161,Neutral
394,"hi magic, good to see you.",0.633,0.0,0.367,Neutral
395,any way take your time........,1.0,0.0,0.0,Neutral
396,"isis was created by believers in god , so god idea has created bad hateful , criminal behaviour",0.372,0.341,0.287,Neutral
397,blessings 🖐🏽,0.472,0.0,0.528,Positive
398,love from bangladesh,0.323,0.0,0.677,Positive
399,love from bangladesh,0.323,0.0,0.677,Positive
400,we don't follow broken mirror clown messiahs.... do we?,0.758,0.0,0.242,Neutral
401,may all your music be symetrical,1.0,0.0,0.0,Neutral
402,love from bangladesh,0.323,0.0,0.677,Positive
403,love from bangladesh,0.323,0.0,0.677,Positive
404,thanks crpt,0.256,0.0,0.744,Positive
405,love to bangladesh,0.323,0.0,0.677,Positive
406,love for all hated for none,0.323,0.339,0.339,Negative
407,:elbowcough::washhands:🥓🥓,1.0,0.0,0.0,Neutral
408,i slept a whole day,1.0,0.0,0.0,Neutral
409,what if a 10.0 earthquake happens?,1.0,0.0,0.0,Neutral
410,i feel like total trash,0.615,0.0,0.385,Neutral
411,"all of his believers will hang him again as a ""fake"" so....👀",0.795,0.205,0.0,Neutral
412,hi,1.0,0.0,0.0,Neutral
413,coffee helps,0.278,0.0,0.722,Positive
414,"isis was created by believers in god , so god idea has created bad hateful , criminal behaviour",0.372,0.341,0.287,Neutral
415,i feel horrible,0.364,0.636,0.0,Negative
416,people who live in cottages will have minimal damage from 10.0 earthquack,0.775,0.225,0.0,Neutral
417,for whatever happens just pray to god..,0.532,0.0,0.468,Neutral
418,i feel great,0.328,0.0,0.672,Positive
419,better live in cottages made of banana trees,0.707,0.0,0.293,Neutral
420,isis was vilified to hoard masonic private school mathematics,1.0,0.0,0.0,Neutral
421,isis was created by usa,0.667,0.0,0.333,Neutral
422,"sldtva _93 if the body say sleep all day i s fine , the body needed sleep and relaxation",0.766,0.0,0.234,Neutral
423,and therefore music,1.0,0.0,0.0,Neutral
424,i don't know if my apartment could handle a 10,1.0,0.0,0.0,Neutral
425,sure it will happen when we least expect it,0.777,0.0,0.223,Neutral
426,bb l,0.25,0.0,0.75,Positive
427,lol,0.0,0.0,1.0,Positive
428,lol,0.0,0.0,1.0,Positive
429,america was created by isis,0.667,0.0,0.333,Neutral
430,a thief in the night,0.541,0.459,0.0,Neutral
431,automation tech is cute,0.5,0.0,0.5,Neutral
432,we had earthquack two days ago. my leggs started shaking,0.841,0.159,0.0,Neutral
433,in the gospel of matthew it speaks of his return.....,1.0,0.0,0.0,Neutral
434,messiah has come,1.0,0.0,0.0,Neutral
435,but stood there like a rock,0.606,0.0,0.394,Neutral
436,i made all the lies go away.,0.682,0.318,0.0,Neutral
437,anything under a 6 i don't notice,1.0,0.0,0.0,Neutral
438,america is around for about a couple of hundred years,1.0,0.0,0.0,Neutral
439,_93 the longer i sleep the better i feel . i didn't sleep well at all last night . have uti . feel better now . i think i go back to sleep now during daytime here in usa,0.825,0.042,0.133,Neutral
440,like a big truck driving by,0.667,0.0,0.333,Neutral
441,i think may be it was created by satan,0.8,0.0,0.2,Neutral
442,my dixie wrecked,1.0,0.0,0.0,Neutral
443,hes coming like a thief in the night....,0.504,0.286,0.21,Neutral
444,#alberto bernal . was that gospel written during jesus time on earth or after his departure?,1.0,0.0,0.0,Neutral
445,love for all hated for none,0.323,0.339,0.339,Negative
446,"blah, blah, blah.. earthquake? my girlfriends legs shook last night! :goodvibes:",0.543,0.457,0.0,Neutral
447,massons na 🍫islam,1.0,0.0,0.0,Neutral
448,yes✝️ pases,0.526,0.0,0.474,Neutral
449,"the people in the bible who worshipped baal...baal worship is actually the study of weather and other bs,,,look it up",0.753,0.0,0.247,Neutral
450,need breakfast,1.0,0.0,0.0,Neutral
451,"murderman if you dont know then dont say that maybe satan did it , that sound like abusive behaviour coming from you , if you dont know then you dont know , accept not knowing",0.783,0.156,0.061,Neutral
452,weather happens,1.0,0.0,0.0,Neutral
453,man made weather patterns,1.0,0.0,0.0,Neutral
454,increadabo,1.0,0.0,0.0,Neutral
455,#alberto bernal . u didn't answer me,1.0,0.0,0.0,Neutral
456,worship = warship,0.204,0.347,0.449,Positive
457,"inas don't believe, your choice, research. learn something. i would start at the place of the skull, golgotha, where was crucified, where his blood dripped onto the ark of the covenant.",1.0,0.0,0.0,Neutral
458,"chaudery qadiyani wrote that in winter time he used to go to toilet for at least 70 times to pee,and 270 times over all,and in summer time 100 times to pee and 300 overall,how did he do that ?",1.0,0.0,0.0,Neutral
459,promised messiah has come hazart m,0.667,0.0,0.333,Neutral
460,يا سلام التطبيع على احلى اشكاله الفلسطيينين بيطالبوا اسرائيل بتطعيمهم ؟🤠,1.0,0.0,0.0,Neutral
461,"whorship and war is the same , true",0.472,0.307,0.22,Neutral
462,"even the tornadoes are looking artificial, they used to happen more frequently years ago,,,now im seeing tornadoes in countries you dont usually see",1.0,0.0,0.0,Neutral
463,:thanksdoc::thanksdoc:can sandhya pandey remain alive ???? for 6 months also now ? kidney failure knocking sandhya pandey to death:oops::oops::oops::oops:,0.712,0.179,0.109,Neutral
464,can u answwer alberto,1.0,0.0,0.0,Neutral
465,i donit like him,0.545,0.0,0.455,Neutral
466,vannishing man,1.0,0.0,0.0,Neutral
467,automation tech is cute,0.5,0.0,0.5,Neutral
468,i can,1.0,0.0,0.0,Neutral
469,give then answer,1.0,0.0,0.0,Neutral
470,"2024,,,,going to be crazy",0.556,0.444,0.0,Neutral
471,horror that mean they have his skull but it s not true so no no ones can say how many dna ! and if you say he is god he could not have any dna lol,0.648,0.116,0.236,Neutral
472,🧟is bad🧟no bad🧟is bad🧟no bad🧟ia bad 🧟no bad🧟is bad🧟no bad🧟,0.243,0.757,0.0,Negative
473,you failed in ur department but any way give answer. emad zak,0.837,0.163,0.0,Neutral
474,ok,0.0,0.0,1.0,Positive
475,what religion do you follow ?,1.0,0.0,0.0,Neutral
476,ok,0.0,0.0,1.0,Positive
477,:elbowbump: outta...,1.0,0.0,0.0,Neutral
478,create suspense,0.323,0.0,0.677,Positive
479,23 not necessary at all to say he is god,0.811,0.0,0.189,Neutral
480,✝️:socialdist:☪️,1.0,0.0,0.0,Neutral
481,#murderman . its private,1.0,0.0,0.0,Neutral
482,messiah has come,1.0,0.0,0.0,Neutral
483,"greg william wants a state department job,,,at the us embassy in baghdad",1.0,0.0,0.0,Neutral
484,power to the people not goverments,1.0,0.0,0.0,Neutral
485,emad zak. avoid writing a paragraph...just jist of the whole answer...try at least,0.845,0.155,0.0,Neutral
486,☪ 💘 ✝= friendships,0.507,0.0,0.493,Neutral
487,lol,0.0,0.0,1.0,Positive
488,"someone said : god judge someone harshly , and is about death threatning people who refuse to have a belief and who refuse god",0.603,0.263,0.133,Neutral
489,23 or 46 is exactly the same and no proof at all,0.833,0.167,0.0,Neutral
490,"must be very embarrassing for you to reveal, but it's ok you can tell me lets discuss your faith",0.654,0.08,0.266,Neutral
491,hi guys we need accept jesus christ us our personal saviour,0.794,0.0,0.206,Neutral
492,the cross is satanic,1.0,0.0,0.0,Neutral
493,murderman. why?,1.0,0.0,0.0,Neutral
494,god is real like any lie told to humanity,0.603,0.0,0.397,Neutral
495,:goodvibes:,1.0,0.0,0.0,Neutral
496,hazart mirza masroor ahmad khalifatul messiah the v man of peace in the world,0.788,0.0,0.212,Neutral
497,:thanksdoc:nawal ojha + lallu yadav kidney working only 10%,1.0,0.0,0.0,Neutral
498,half a moon is satanic,1.0,0.0,0.0,Neutral
499,you will know why after we discuss,1.0,0.0,0.0,Neutral
500,you need accept jesus christ,0.606,0.0,0.394,Neutral
501,.,1.0,0.0,0.0,Neutral
502,:thanksdoc:sonia gandhi kidney working 17%,1.0,0.0,0.0,Neutral
503,na na. i m not fool,0.675,0.0,0.325,Neutral
504,im just here on aj chat trying to solve the world's issues. i plan to discuss theology,0.899,0.0,0.101,Neutral
505,its private,1.0,0.0,0.0,Neutral
506,"chaudery qadiyani wrote that in winter time he used to go to toilet for at least 70 times to pee,and 270 times over all,and in summer time 100 times to pee and 300 overall,how did he do that?",1.0,0.0,0.0,Neutral
507,...omg...👀..!!...whatever👀..!!,1.0,0.0,0.0,Neutral
508,wine tating is old ..d2o tasting is new thing,1.0,0.0,0.0,Neutral
509,innocent,0.0,0.0,1.0,Positive
510,aha,1.0,0.0,0.0,Neutral
511,😆,0.444,0.0,0.556,Positive
512,today is black day indian crpf soldiers we lost our 40 soldiers 🇮🇳🙏🙏🙏🙏,0.897,0.103,0.0,Neutral
513,jesus tomb in india kashmir mahala khanyar,1.0,0.0,0.0,Neutral
514,no more fake teachers,0.284,0.312,0.404,Positive
515,lol,0.0,0.0,1.0,Positive
516,"inas jesus was crucified where king david slayed goliath, goliath the giant he was buried there. the reason it called the place of the skull.",1.0,0.0,0.0,Neutral
517,omg i'm not bothering y'all don't start none won't be none...,0.821,0.0,0.179,Neutral
518,sol isis la in the magic mirror,1.0,0.0,0.0,Neutral
519,43 trumpers?,1.0,0.0,0.0,Neutral
520,emad zak. you didn't give answer...you said you would....but jist only ....avoid paragraphs,0.845,0.155,0.0,Neutral
521,rajesh lalu yadav 👌😂😂,0.339,0.143,0.518,Positive
522,same here lion,1.0,0.0,0.0,Neutral
523,chaudery can you imagine the body condition someone would be in if he had to pee 200 times a day ?,1.0,0.0,0.0,Neutral
524,i have a horrible headache otherwise i 'll be glad to contribute in solving the wotld s issues with you,0.656,0.135,0.208,Neutral
525,:yougotthis:,1.0,0.0,0.0,Neutral
526,fish💘,0.417,0.0,0.583,Positive
527,no skull of jedus,0.577,0.423,0.0,Neutral
528,the states is so screwed,0.493,0.507,0.0,Negative
529,who we r?,1.0,0.0,0.0,Neutral
530,zak the upside down cross is satanic.... get it rite bro...,1.0,0.0,0.0,Neutral
531,no skull of jedus i the vatican 😆,0.63,0.173,0.197,Neutral
532,human,1.0,0.0,0.0,Neutral
533,"hey, great. a trial with no witnesses is a farce. definitely not democracy.",0.435,0.237,0.329,Neutral
534,trump is great,0.328,0.0,0.672,Positive
535,i am from india rajasthan lake city,1.0,0.0,0.0,Neutral
536,problems to be solved,0.294,0.397,0.309,Negative
537,england vs india,1.0,0.0,0.0,Neutral
538,1st amendment gets him off,1.0,0.0,0.0,Neutral
539,today match india will win,0.513,0.0,0.487,Neutral
540,impeach biden,1.0,0.0,0.0,Neutral
541,pope should not hide such information from the wotld if pope have jesus skull he would be glad to share the information 😆,0.695,0.0,0.305,Neutral
542,moment of silence for the retired air force (female) cadet who was shot in the capitol building....witchhunt? or christian hunt? she maybe wanted to be rasta,1.0,0.0,0.0,Neutral
543,today match india will win,0.513,0.0,0.487,Neutral
544,inas i don't mix with swine. bye.,1.0,0.0,0.0,Neutral
545,cricket baseball on valium,1.0,0.0,0.0,Neutral
546,"then pelosi runs away, whose the coward",0.667,0.333,0.0,Neutral
547,america's reality show continues👀..!!,1.0,0.0,0.0,Neutral
548,chaudery mirza ghulam qadiyani died on his shyt he was obsessed with shyt,0.675,0.325,0.0,Neutral
549,in congo anti bullyng law must be signed\,0.753,0.247,0.0,Neutral
550,impeach biden,1.0,0.0,0.0,Neutral
551,now that the sham trial is over i definitely want trump to run again. if we really want a dictator then it will be on the hands of the voters.,0.828,0.0,0.172,Neutral
552,we might be alive in the spirit but we might be asleep or awake in the spirit....,0.729,0.0,0.271,Neutral
553,impeach everything,1.0,0.0,0.0,Neutral
554,truh,1.0,0.0,0.0,Neutral
555,impeach pelosi,1.0,0.0,0.0,Neutral
556,horror ok bye ☺,0.183,0.339,0.477,Positive
557,"""that's entertainment""...👀..!!",0.371,0.0,0.629,Positive
558,"unfortunatley , government is not , reality tv",1.0,0.0,0.0,Neutral
559,political victimisation,1.0,0.0,0.0,Neutral
560,"trump 2024,,, independent",1.0,0.0,0.0,Neutral
561,"button eyes no , is not entertainment , is bad criminal behaviour",0.412,0.588,0.0,Negative
562,"non profits organizations giving relief to (people in) nations like congo, coming soon....non-profit named cutc====clean up the country coming soon...founded by greg william",0.635,0.0,0.365,Neutral
563,this doesn't leave trump off the hook . by 2022 he'll be in prison,0.73,0.201,0.07,Neutral
564,i would rather be awake in spirit in christ jesus....,0.841,0.0,0.159,Neutral
565,trump 2024=sanctions for being a terrorist nation,0.561,0.439,0.0,Neutral
566,they work for the government and police .... can't tell those sale outs that it's reality to them it's all they know..,1.0,0.0,0.0,Neutral
567,there you go👀..!!..your trump jesus has risen from the dead👀..!!,0.668,0.332,0.0,Neutral
568,"split the consevatives , stay outta power decades",1.0,0.0,0.0,Neutral
569,the world doesn't think america is cool anymore,0.753,0.0,0.247,Neutral
570,"inas you need to go back and read closely what i said. what your answer was is a lie, i didn't say that. go back read closely.",1.0,0.0,0.0,Neutral
571,you pretty much are a joke,0.426,0.0,0.574,Positive
572,independent trump 2024,1.0,0.0,0.0,Neutral
573,"yourmate true , it will be a good thing",0.551,0.0,0.449,Neutral
574,some baloons,1.0,0.0,0.0,Neutral
575,cryogenic trump 2024,1.0,0.0,0.0,Neutral
576,death means the end of the existence of flesh... but your spirit lives on... and tgats where we bee,0.791,0.114,0.095,Neutral
577,poverty breeds violence,0.119,0.881,0.0,Negative
578,trump won't make it to 2024.,1.0,0.0,0.0,Neutral
579,we need jesus christ,1.0,0.0,0.0,Neutral
580,"alberto you do ,",1.0,0.0,0.0,Neutral
581,tinnu anand is mujahid who only capable for j&k,0.755,0.0,0.245,Neutral
582,#alberto bernal . you already had once.,1.0,0.0,0.0,Neutral
583,we all need jesus christ....,1.0,0.0,0.0,Neutral
584,these burmese military generals should be tried in icc for rohinga massacre,1.0,0.0,0.0,Neutral
585,something shaky is going on behind the scenes...in the rep. party.....,0.662,0.14,0.199,Neutral
586,alberto he's terrible with being on time,0.659,0.341,0.0,Neutral
587,you right but before you said that the know from the skull and it s legitimate to think that it s the skull of jedus not the dkull of goliath and i font see why you mixing the 2 stories?,1.0,0.0,0.0,Neutral
588,mujahideens of pakistan are hero in world,0.625,0.0,0.375,Neutral
589,greg i agree,0.444,0.0,0.556,Positive
590,bangladesh ar 2 part caming date....plz,1.0,0.0,0.0,Neutral
591,what do you mean???,1.0,0.0,0.0,Neutral
592,it was prophesy that promissed messiah will be wraped in 2 yellow sheets which means that he will suffer with 2 deasese that prophesy was fullfilled and shows his truthfullness that he is from god,0.855,0.091,0.054,Neutral
593,yourmate what do you mean???,1.0,0.0,0.0,Neutral
594,"alberto, he is currently trapped in gaza right now.",0.702,0.298,0.0,Neutral
595,#alberto bernal . as you he did come in time. you refused,0.833,0.167,0.0,Neutral
596,besides i font think that even they can found goliath skull don't be do innocent,0.873,0.127,0.0,Neutral
597,"rafiq chaudery god idea is scam , that book is a lie",0.633,0.234,0.133,Neutral
598,as you know,1.0,0.0,0.0,Neutral
599,"chaudery qadiyani wrote that in winter time he used to go to toilet for at least 70 times to pee,and 270 times over all,and in summer time 100 times to pee and 300 overall,how did he do that?",1.0,0.0,0.0,Neutral
600,lots of bad news-agencies only focus their newstelling only the result of the vote senate and not enough on what has been said afterwards by the senate members,0.885,0.115,0.0,Neutral
601,"2000 yrs late , please keep your god to you ,",0.672,0.0,0.328,Neutral
602,ajmal qasab and tinnu anand challege to get kashmir,1.0,0.0,0.0,Neutral
603,jesus the messiah is always on time....,1.0,0.0,0.0,Neutral
604,"ebola is normal there,, why pandemic now",1.0,0.0,0.0,Neutral
605,truth does not h an expiration date,0.723,0.0,0.277,Neutral
606,why trouble him again and again? didn't he say all to you.,0.803,0.197,0.0,Neutral
607,"william true . and its because of wealth disparity, most of nations worth controlled by 1% . must make laws to make them pay good wages and more taxes. then poor whatever color be peaceful",0.595,0.101,0.303,Neutral
608,does not hv*,1.0,0.0,0.0,Neutral
609,i like people - as long as they agree with me,0.643,0.0,0.357,Neutral
610,ajmal qasab and tinna anand arw challenge to get jammu and kashmir,0.894,0.0,0.106,Neutral
611,messiah has come,1.0,0.0,0.0,Neutral
612,do you love people or turn other cheek?,0.625,0.0,0.375,Neutral
613,is that why those people did that to the capitol?,1.0,0.0,0.0,Neutral
614,god will punish you if you disagree with me,0.426,0.426,0.149,Negative
615,if no...then 2nd arrival will do no magic,0.761,0.239,0.0,Neutral
616,....lol,0.0,0.0,1.0,Positive
617,wooowww,1.0,0.0,0.0,Neutral
618,i know what i'm doing - god stand behind me,0.811,0.0,0.189,Neutral
619,they should had stormed the russian embassy,1.0,0.0,0.0,Neutral
620,you will arrest under some human rights law,0.745,0.255,0.0,Neutral
621,god is not something to play with,0.547,0.223,0.23,Neutral
622,its possible,1.0,0.0,0.0,Neutral
623,ajmal qasab and tinnu anand are challenge to get jammu and kashmir,0.894,0.0,0.106,Neutral
624,ola hu uber,1.0,0.0,0.0,Neutral
625,messiah has come,1.0,0.0,0.0,Neutral
626,if you believe what i say - you'll be in paradise,0.704,0.0,0.296,Neutral
627,paying attention helps a little sometimes greg👀..!!,0.687,0.0,0.313,Neutral
628,love for all hated for none,0.323,0.339,0.339,Negative
629,allha u uber lol,0.492,0.0,0.508,Positive
630,what if they do storm the russian embassy,1.0,0.0,0.0,Neutral
631,or mu ham hard,0.682,0.318,0.0,Neutral
632,"lol . true story, long time ago saw an ad where guy would pay 20 dollars an hour to anyone who would keep agreeing with him when they met",0.727,0.041,0.233,Neutral
633,that would not be very surprising,0.711,0.289,0.0,Neutral
634,"i have the word of god, and you must obey me and make donations to my bank account - then you will be in paradise",0.785,0.0,0.215,Neutral
635,"learned about lights,,,these lights be messing with our health",1.0,0.0,0.0,Neutral
636,corrupt senators,1.0,0.0,0.0,Neutral
637,sar zameen e pakistan.long live tinnu anand,1.0,0.0,0.0,Neutral
638,hazart mirza masroor ahmad khalifatul messiah the v man of peace in the world,0.788,0.0,0.212,Neutral
639,buy btc,1.0,0.0,0.0,Neutral
640,its just very pointless cuz there is probably nothing particularly useful there exactly for that reason,0.851,0.149,0.0,Neutral
641,if you obey me - and make huge donations to my bank account - you will be sooner in paradise of joy,0.648,0.0,0.352,Neutral
642,"tithe tax free , abuse children at whim",0.444,0.311,0.244,Neutral
643,🤣...holy s**t...👀..!!,1.0,0.0,0.0,Neutral
644,congo need anti bullyng law,0.635,0.365,0.0,Neutral
645,carbikenetwork lol,0.263,0.0,0.737,Positive
646,as soon as the coin in the coffer rings - the gates of paradise open and the 72 virgins are yours,0.826,0.0,0.174,Neutral
647,"hi,,",1.0,0.0,0.0,Neutral
648,hazart mirza masroor ahmad khalifatul messiah the v man of peace in the world,0.788,0.0,0.212,Neutral
649,history and destiny right now... there is no escaping it... you heard the man... now stop it 🤣,0.744,0.131,0.125,Neutral
650,"""lights"".....👀..!!....🤣",0.613,0.0,0.387,Neutral
651,donate now,1.0,0.0,0.0,Neutral
652,i don't agree with tithe. after the swaggarts it is disgusting begging. they are awful.,0.585,0.415,0.0,Neutral
653,stupid,0.0,1.0,0.0,Negative
654,"72 virgins , for lousy lovemaker",0.588,0.412,0.0,Neutral
655,congo to add anti bullyng law,0.685,0.315,0.0,Neutral
656,"buy bitcoin now, free yourself for everrr",0.645,0.0,0.355,Neutral
657,ya,1.0,0.0,0.0,Neutral
658,messiah has come,1.0,0.0,0.0,Neutral
659,🇬🇧🇺🇸🇪🇺❌❌❌,1.0,0.0,0.0,Neutral
660,no deal . only deal if i get 87 virgins,0.804,0.196,0.0,Neutral
661,on who,1.0,0.0,0.0,Neutral
662,love for all hated for none,0.323,0.339,0.339,Negative
663,if you have a relationship with jesus why give them money,1.0,0.0,0.0,Neutral
664,masculinity ugliness and god idea create atacks on the planet as always it does,0.582,0.196,0.222,Neutral
665,nowhere in qur'an said 72 or the word virgin,1.0,0.0,0.0,Neutral
666,🇬🇧🇬🇧🇬🇧🇬🇧😂,0.412,0.196,0.392,Neutral
667,you get 18 + 88,1.0,0.0,0.0,Neutral
668,hazart mirza masroor ahmad khalifatul messiah the v man of peace in the world,0.788,0.0,0.212,Neutral
669,do you still hhav jeruselem?,1.0,0.0,0.0,Neutral
670,islam,1.0,0.0,0.0,Neutral
671,even tho i wish to get them in paradise,0.504,0.0,0.496,Neutral
672,messiah has come,1.0,0.0,0.0,Neutral
673,i slam - if you don't belive me,0.729,0.271,0.0,Neutral
674,"blow them up , fixed ,",1.0,0.0,0.0,Neutral
675,"kosovo needs bitcoin and thats it, all problems solved",0.593,0.229,0.178,Neutral
676,"i am not messiah, stop lying",0.462,0.0,0.538,Positive
677,kosovo need to add anti bullyng law as well,0.614,0.202,0.184,Neutral
678,abk,1.0,0.0,0.0,Neutral
679,i'ma keep making half a billion a week under the lie i'm looking for my twin 😂,0.769,0.077,0.154,Neutral
680,#carbikenetwork . its not true...however people who were taught to turn other cheek slam them hard...recent two decades,0.867,0.133,0.0,Neutral
681,love for all hated for none,0.323,0.339,0.339,Negative
682,facts are facts,1.0,0.0,0.0,Neutral
683,r,1.0,0.0,0.0,Neutral
684,messiah has come,1.0,0.0,0.0,Neutral
685,knowledge of why the infinity logo is~is,1.0,0.0,0.0,Neutral
686,chaudery why do you love satan ?,0.588,0.0,0.412,Neutral
687,and they slam and then steal also,0.463,0.537,0.0,Negative
688,"cmon man, you been living under aw rock last 60 yrs ? how you gonna get me 88 18 yr olds who are stil virgins in this day and age ????",1.0,0.0,0.0,Neutral
689,"chaudery qadiyani wrote that in winter time he used to go to toilet for at least 70 times to pee,and 270 times over all,and in summer time 100 times to pee and 300 overall,how did he do that?",1.0,0.0,0.0,Neutral
690,lol,0.0,0.0,1.0,Positive
691,messiah has come,1.0,0.0,0.0,Neutral
692,bye,1.0,0.0,0.0,Neutral
693,anyone need kidney,1.0,0.0,0.0,Neutral
694,18 means ...,1.0,0.0,0.0,Neutral
695,i am selling it,1.0,0.0,0.0,Neutral
696,if it's not forever... why do you need to know it?,1.0,0.0,0.0,Neutral
697,masculinity ugliness and god idea create atacks on the planet as always it does,0.582,0.196,0.222,Neutral
698,lion adious,1.0,0.0,0.0,Neutral
699,and 88 means,1.0,0.0,0.0,Neutral
700,love for all hated for none,0.323,0.339,0.339,Negative
701,google,1.0,0.0,0.0,Neutral
702,#rajat singh . for free?,0.548,0.0,0.452,Neutral
703,tone,1.0,0.0,0.0,Neutral
704,jesus is king ans the jews own jerusalem lmao,0.672,0.0,0.328,Neutral
705,anyone need kidney i am selling it,1.0,0.0,0.0,Neutral
706,pakistani 2 territories arrested in jammu kashmir,0.659,0.341,0.0,Neutral
707,88 = 60's buick,1.0,0.0,0.0,Neutral
708,messiah has come,1.0,0.0,0.0,Neutral
709,ok,0.0,0.0,1.0,Positive
710,how much does a kidney bring these days?,1.0,0.0,0.0,Neutral
711,there is a country called bahraini???,1.0,0.0,0.0,Neutral
712,masculinity ugliness and god idea create atacks on the planet as always it does,0.582,0.196,0.222,Neutral
713,no sigem i will charge for it,0.732,0.268,0.0,Neutral
714,hazart mirza masroor ahmad khalifatul messiah the v man of peace in the world,0.788,0.0,0.212,Neutral
715,bahrain.,1.0,0.0,0.0,Neutral
716,ok rajat singh.,0.476,0.0,0.524,Positive
717,google 18 - 88,1.0,0.0,0.0,Neutral
718,do you need sigment,1.0,0.0,0.0,Neutral
719,"rajat hold onto kidney ,",1.0,0.0,0.0,Neutral
720,no,0.0,1.0,0.0,Negative
721,cops are cancer,0.312,0.688,0.0,Negative
722,just was asking,1.0,0.0,0.0,Neutral
723,boats',1.0,0.0,0.0,Neutral
724,pakistani its common 🙄 for surgical strike 👌😁😁,0.555,0.049,0.396,Neutral
725,"lol, just kidding about under age virgins . but you have to admit finding a legal 18+ virgin is about as likely as finding a needle in a haystack these days",0.793,0.0,0.207,Neutral
726,hazart mirza masroor ahmad khalifatul messiah the v man of peace in the world,0.788,0.0,0.212,Neutral
727,i am in much trouble any one need than contact me,0.787,0.213,0.0,Neutral
728,you are cancer mike. say that when your car gets stolen,0.542,0.458,0.0,Neutral
729,russia 💪 power and strentgh,1.0,0.0,0.0,Neutral
730,the the adult female doesnt look malnourished,1.0,0.0,0.0,Neutral
731,how bout giving food for her? no she has to go to hospital,0.705,0.141,0.154,Neutral
732,issuance,1.0,0.0,0.0,Neutral
733,we are in england,1.0,0.0,0.0,Neutral
734,i am 19 and i am virgin,1.0,0.0,0.0,Neutral
735,india 💪👌,0.328,0.0,0.672,Positive
736,"who whats a virgin ,",1.0,0.0,0.0,Neutral
737,insurance,1.0,0.0,0.0,Neutral
738,yourmate do you need,1.0,0.0,0.0,Neutral
739,lmaso,1.0,0.0,0.0,Neutral
740,thanks for all the help bezos.......👀..!!,0.447,0.0,0.553,Positive
741,imasculinity ugliness and god idea create atacks on the planet as always it does,0.582,0.196,0.222,Neutral
742,hmm,1.0,0.0,0.0,Neutral
743,no,0.0,1.0,0.0,Negative
744,what kind of trouble leads someone to sell their organs on the blc,0.8,0.2,0.0,Neutral
745,but why?,1.0,0.0,0.0,Neutral
746,nadia khan?😁😁,0.625,0.0,0.375,Neutral
747,insurance,1.0,0.0,0.0,Neutral
748,hello limeys . hows everything across the pond ?!,1.0,0.0,0.0,Neutral
749,thanks for all the help elon...👀..!!,0.447,0.0,0.553,Positive
750,messiah has come,1.0,0.0,0.0,Neutral
751,any one need kidney i am selling it,1.0,0.0,0.0,Neutral
752,i'm down under,1.0,0.0,0.0,Neutral
753,#emad zak . give me verse from your scripture where there is mention of 'return'? take you time.,1.0,0.0,0.0,Neutral
754,"depends, is it a tasty one",1.0,0.0,0.0,Neutral
755,love for all hated for none,0.323,0.339,0.339,Negative
756,so gloabal effort to help or that gana be christian countrys deal with poverty,0.667,0.183,0.15,Neutral
757,masculinity ugliness and god idea create atacks on the planet as always it does,0.582,0.196,0.222,Neutral
758,"rajat keep it , savings",1.0,0.0,0.0,Neutral
759,please pigs leave chat,0.364,0.218,0.418,Positive
760,rajat singh where are you from,1.0,0.0,0.0,Neutral
761,"coup, sabotage, killing, murder, demon-cracy, autumn-cracy, crazy",0.168,0.832,0.0,Negative
762,messiah has come,1.0,0.0,0.0,Neutral
